TABELA_S4;TABELA_DS;VIEW_DS;STATUS
EHHSSD_INC_INCGR;S4H_TB_EHHSSD_INC_INCGR;S4H_VW_EHHSSD_INC_INCGR_R;
EHHSSD_INC_INJIL;S4H_TB_EHHSSD_INC_INJIL;S4H_VW_EHHSSD_INC_INJIL_R;
EHHSSD_INC_INRES;S4H_TB_EHHSSD_INC_INRES;S4H_VW_EHHSSD_INC_INRES_R;
EHHSSD_INC_INSTP;S4H_TB_EHHSSD_INC_INSTP;S4H_VW_EHHSSD_INC_INSTP_R;
EHHSSD_INC_NRMSS;S4H_TB_EHHSSD_INC_NRMSS;S4H_VW_EHHSSD_INC_NRMSS_R;
EHHSSD_INC_PINIT;S4H_TB_EHHSSD_INC_PINIT;S4H_VW_EHHSSD_INC_PINIT_R;
EHHSSD_INC_PINJI;S4H_TB_EHHSSD_INC_PINJI;S4H_VW_EHHSSD_INC_PINJI_R;
EHHSSD_INC_PINV;S4H_TB_EHHSSD_INC_PINV;S4H_VW_EHHSSD_INC_PINV_R;
EHHSSD_INC_PROLE;S4H_TB_EHHSSD_INC_PROLE;S4H_VW_EHHSSD_INC_PROLE_R;
EHHSSD_INC_PROP;S4H_TB_EHHSSD_INC_PROP;S4H_VW_EHHSSD_INC_PROP_R;
EHHSSD_INC_RCAUS;S4H_TB_EHHSSD_INC_RCAUS;S4H_VW_EHHSSD_INC_RCAUS_R;
EHHSSD_INC_RELEX;S4H_TB_EHHSSD_INC_RELEX;S4H_VW_EHHSSD_INC_RELEX_R;
EHHSSD_INC_RESDU;S4H_TB_EHHSSD_INC_RESDU;S4H_VW_EHHSSD_INC_RESDU_R;
EHHSSD_INC_RIASS;S4H_TB_EHHSSD_INC_RIASS;S4H_VW_EHHSSD_INC_RIASS_R;
EHHSSD_INC_RIAST;S4H_TB_EHHSSD_INC_RIAST;S4H_VW_EHHSSD_INC_RIAST_R;
EHHSSD_INC_SAFOB;S4H_TB_EHHSSD_INC_SAFOB;S4H_VW_EHHSSD_INC_SAFOB_R;
EHHSSD_INC_TIDAT;S4H_TB_EHHSSD_INC_TIDAT;S4H_VW_EHHSSD_INC_TIDAT_R;
EHHSSD_INC_VEHIC;S4H_TB_EHHSSD_INC_VEHIC;S4H_VW_EHHSSD_INC_VEHIC_R;
EHHSSD_INC_VIOLN;S4H_TB_EHHSSD_INC_VIOLN;S4H_VW_EHHSSD_INC_VIOLN_R;
EHHSSD_PIC_ROOT;S4H_TB_EHHSSD_PIC_ROOT;S4H_VW_EHHSSD_PIC_ROOT_R;
EINA;S4H_TB_EINA;S4H_VW_EINA_R;
EINE;S4H_TB_EINE;S4H_VW_EINE_R;
EIPA;S4H_TB_EIPA;S4H_VW_EIPA_R;
EKAB;S4H_TB_EKAB;S4H_VW_EKAB_R;
EKAN;S4H_TB_EKAN;S4H_VW_EKAN_R;
EKBE;S4H_TB_EKBE;S4H_VW_EKBE_R;
EKBEH;S4H_TB_EKBEH;S4H_VW_EKBEH_R;
EKBZ;S4H_TB_EKBZ;S4H_VW_EKBZ_R;
EKBZH;S4H_TB_EKBZH;S4H_VW_EKBZH_R;
EKEH;S4H_TB_EKEH;S4H_VW_EKEH_R;
EKEK;S4H_TB_EKEK;S4H_VW_EKEK_R;
EKES;S4H_TB_EKES;S4H_VW_EKES_R;
EKETH;S4H_TB_EKETH;S4H_VW_EKETH_R;
EKKI;S4H_TB_EKKI;S4H_VW_EKKI_R;
EKPA;S4H_TB_EKPA;S4H_VW_EKPA_R;
EKPB;S4H_TB_EKPB;S4H_VW_EKPB_R;
EKPV;S4H_TB_EKPV;S4H_VW_EKPV_R;
EKRS;S4H_TB_EKRS;S4H_VW_EKRS_R;
EKUB;S4H_TB_EKUB;S4H_VW_EKUB_R;
EORD;S4H_TB_EORD;S4H_VW_EORD_R;
EQBS;S4H_TB_EQBS;S4H_VW_EQBS_R;
EQKT;S4H_TB_EQKT;S4H_VW_EQKT_R;
EQST;S4H_TB_EQST;S4H_VW_EQST_R;
EQUK;S4H_TB_EQUK;S4H_VW_EQUK_R;
EQUP;S4H_TB_EQUP;S4H_VW_EQUP_R;
EQUZ;S4H_TB_EQUZ;S4H_VW_EQUZ_R;
ESKL;S4H_TB_ESKL;S4H_VW_ESKL_R;
ESLA;S4H_TB_ESLA;S4H_VW_ESLA_R;
ESLB;S4H_TB_ESLB;S4H_VW_ESLB_R;
ESLH;S4H_TB_ESLH;S4H_VW_ESLH_R;
ESLL;S4H_TB_ESLL;S4H_VW_ESLL_R;
ESLP;S4H_TB_ESLP;S4H_VW_ESLP_R;
ESLT;S4H_TB_ESLT;S4H_VW_ESLT_R;
ESLZ;S4H_TB_ESLZ;S4H_VW_ESLZ_R;
ESSR;S4H_TB_ESSR;S4H_VW_ESSR_R;
ESTMJ;S4H_TB_ESTMJ;S4H_VW_ESTMJ_R;
ESTRI;S4H_TB_ESTRI;S4H_VW_ESTRI_R;
ESUC;S4H_TB_ESUC;S4H_VW_ESUC_R;
ESUH;S4H_TB_ESUH;S4H_VW_ESUH_R;
EVPOC;S4H_TB_EVPOC;S4H_VW_EVPOC_R;
FAGL_011PC;S4H_TB_FAGL_011PC;S4H_VW_FAGL_011PC_R;
FAGL_011QT;S4H_TB_FAGL_011QT;S4H_VW_FAGL_011QT_R;
FAGL_011ZC;S4H_TB_FAGL_011ZC;S4H_VW_FAGL_011ZC_R;
FAGL_SEGM;S4H_TB_FAGL_SEGM;S4H_VW_FAGL_SEGM_R;
FAGL_SEGMT;S4H_TB_FAGL_SEGMT;S4H_VW_FAGL_SEGMT_R;
FEBEP;S4H_TB_FEBEP;S4H_VW_FEBEP_R;
FLQGSBER_SUBST;S4H_TB_FLQGSBER_SUBST;S4H_VW_FLQGSBER_SUBST_R;
FLQLPOST;S4H_TB_FLQLPOST;S4H_VW_FLQLPOST_R;
FLQSUM;S4H_TB_FLQSUM;S4H_VW_FLQSUM_R;
FLQSUM_FC;S4H_TB_FLQSUM_FC;S4H_VW_FLQSUM_FC_R;
FM01;S4H_TB_FM01;S4H_VW_FM01_R;
