CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_VTAX_T030;RS_S4H_PUB_003;S4H_TB_VTAX_T030;S4H_VW_VTAX_T030_R;
ZS4_VCI_VTAX_T031;RS_S4H_PUB_003;S4H_TB_VTAX_T031;S4H_VW_VTAX_T031_R;
ZS4_VCI_VTAX_T031_DET;RS_S4H_PUB_003;S4H_TB_VTAX_T031_DET;S4H_VW_VTAX_T031_DET_R;
ZS4_VCI_VTAX_T031_VALUE;RS_S4H_PUB_003;S4H_TB_VTAX_T031_VALUE;S4H_VW_VTAX_T031_VALUE_R;
ZS4_VCI_VTAX_T034;RS_S4H_PUB_003;S4H_TB_VTAX_T034;S4H_VW_VTAX_T034_R;
ZS4_VCI_VTAX_T035;RS_S4H_PUB_003;S4H_TB_VTAX_T035;S4H_VW_VTAX_T035_R;
ZS4_VCI_VTAX_T039;RS_S4H_PUB_003;S4H_TB_VTAX_T039;S4H_VW_VTAX_T039_R;
ZS4_VCI_VTAX_T040;RS_S4H_PUB_003;S4H_TB_VTAX_T040;S4H_VW_VTAX_T040_R;
ZS4_VCI_VTAX_T041;RS_S4H_PUB_003;S4H_TB_VTAX_T041;S4H_VW_VTAX_T041_R;
ZS4_VCI_VTAX_T049;RS_S4H_PUB_003;S4H_TB_VTAX_T049;S4H_VW_VTAX_T049_R;
ZS4_VCI_VTAX_T049_DETAL;RS_S4H_PUB_003;S4H_TB_VTAX_T049_DETAL;S4H_VW_VTAX_T049_DETAL_R;
ZS4_VCI_VTAX_T049_UF;RS_S4H_PUB_003;S4H_TB_VTAX_T049_UF;S4H_VW_VTAX_T049_UF_R;
ZS4_VCI_VTAX_T055;RS_S4H_PUB_003;S4H_TB_VTAX_T055;S4H_VW_VTAX_T055_R;
ZS4_VCI_VTAX_T064;RS_S4H_PUB_003;S4H_TB_VTAX_T064;S4H_VW_VTAX_T064_R;
ZS4_VCI_VTAX_T066;RS_S4H_PUB_003;S4H_TB_VTAX_T066;S4H_VW_VTAX_T066_R;
ZS4_VCI_VTAX_T070;RS_S4H_PUB_003;S4H_TB_VTAX_T070;S4H_VW_VTAX_T070_R;
ZS4_VCI_VTAX_T074_T412;RS_S4H_PUB_003;S4H_TB_VTAX_T074_T412;S4H_VW_VTAX_T074_T412_R;
ZS4_VCI_VTAX_T160;RS_S4H_PUB_003;S4H_TB_VTAX_T160;S4H_VW_VTAX_T160_R;
ZS4_VCI_VTAX_T179;RS_S4H_PUB_003;S4H_TB_VTAX_T179;S4H_VW_VTAX_T179_R;
ZS4_VCI_VTAX_T187;RS_S4H_PUB_003;S4H_TB_VTAX_T187;S4H_VW_VTAX_T187_R;
